"","state","population","date","month","cumulative.death.cases","death.cases","cumulative.confirmed.cases","confirmed.cases"
"1","ALABAMA",4903185,2020-01-22,"January",0,0,0,0
"2","ALABAMA",4903185,2020-01-23,"January",0,0,0,0
"3","ALABAMA",4903185,2020-01-24,"January",0,0,0,0
"4","ALABAMA",4903185,2020-01-25,"January",0,0,0,0
"5","ALABAMA",4903185,2020-01-26,"January",0,0,0,0
"6","ALABAMA",4903185,2020-01-27,"January",0,0,0,0
"7","ALABAMA",4903185,2020-01-28,"January",0,0,0,0
"8","ALABAMA",4903185,2020-01-29,"January",0,0,0,0
"9","ALABAMA",4903185,2020-01-30,"January",0,0,0,0
"10","ALABAMA",4903185,2020-01-31,"January",0,0,0,0
"11","ALABAMA",4903185,2020-02-01,"February",0,0,0,0
"12","ALABAMA",4903185,2020-02-02,"February",0,0,0,0
"13","ALABAMA",4903185,2020-02-03,"February",0,0,0,0
"14","ALABAMA",4903185,2020-02-04,"February",0,0,0,0
"15","ALABAMA",4903185,2020-02-05,"February",0,0,0,0
"16","ALABAMA",4903185,2020-02-06,"February",0,0,0,0
"17","ALABAMA",4903185,2020-02-07,"February",0,0,0,0
"18","ALABAMA",4903185,2020-02-08,"February",0,0,0,0
"19","ALABAMA",4903185,2020-02-09,"February",0,0,0,0
"20","ALABAMA",4903185,2020-02-10,"February",0,0,0,0
"21","ALABAMA",4903185,2020-02-11,"February",0,0,0,0
"22","ALABAMA",4903185,2020-02-12,"February",0,0,0,0
"23","ALABAMA",4903185,2020-02-13,"February",0,0,0,0
"24","ALABAMA",4903185,2020-02-14,"February",0,0,0,0
"25","ALABAMA",4903185,2020-02-15,"February",0,0,0,0
"26","ALABAMA",4903185,2020-02-16,"February",0,0,0,0
"27","ALABAMA",4903185,2020-02-17,"February",0,0,0,0
"28","ALABAMA",4903185,2020-02-18,"February",0,0,0,0
"29","ALABAMA",4903185,2020-02-19,"February",0,0,0,0
"30","ALABAMA",4903185,2020-02-20,"February",0,0,0,0
"31","ALABAMA",4903185,2020-02-21,"February",0,0,0,0
"32","ALABAMA",4903185,2020-02-22,"February",0,0,0,0
"33","ALABAMA",4903185,2020-02-23,"February",0,0,0,0
"34","ALABAMA",4903185,2020-02-24,"February",0,0,0,0
"35","ALABAMA",4903185,2020-02-25,"February",0,0,0,0
"36","ALABAMA",4903185,2020-02-26,"February",0,0,0,0
"37","ALABAMA",4903185,2020-02-27,"February",0,0,0,0
"38","ALABAMA",4903185,2020-02-28,"February",0,0,0,0
"39","ALABAMA",4903185,2020-02-29,"February",0,0,0,0
"40","ALABAMA",4903185,2020-03-01,"March",0,0,0,0
"41","ALABAMA",4903185,2020-03-02,"March",0,0,0,0
"42","ALABAMA",4903185,2020-03-03,"March",0,0,0,0
"43","ALABAMA",4903185,2020-03-04,"March",0,0,0,0
"44","ALABAMA",4903185,2020-03-05,"March",0,0,0,0
"45","ALABAMA",4903185,2020-03-06,"March",0,0,0,0
"46","ALABAMA",4903185,2020-03-07,"March",0,0,0,0
"47","ALABAMA",4903185,2020-03-08,"March",0,0,0,0
"48","ALABAMA",4903185,2020-03-09,"March",0,0,0,0
"49","ALABAMA",4903185,2020-03-10,"March",0,0,0,0
"50","ALABAMA",4903185,2020-03-11,"March",0,0,0,0
"51","ALABAMA",4903185,2020-03-12,"March",0,0,0,0
"52","ALABAMA",4903185,2020-03-13,"March",0,0,5,5
"53","ALABAMA",4903185,2020-03-14,"March",0,0,7,2
"54","ALABAMA",4903185,2020-03-15,"March",0,0,11,4
"55","ALABAMA",4903185,2020-03-16,"March",0,0,29,18
"56","ALABAMA",4903185,2020-03-17,"March",0,0,39,10
"57","ALABAMA",4903185,2020-03-18,"March",0,0,51,12
"58","ALABAMA",4903185,2020-03-19,"March",0,0,78,27
"59","ALABAMA",4903185,2020-03-20,"March",0,0,106,28
"60","ALABAMA",4903185,2020-03-21,"March",0,0,131,25
"61","ALABAMA",4903185,2020-03-22,"March",0,0,157,26
"62","ALABAMA",4903185,2020-03-23,"March",0,0,196,39
"63","ALABAMA",4903185,2020-03-24,"March",0,0,242,46
"64","ALABAMA",4903185,2020-03-25,"March",1,1,381,139
"65","ALABAMA",4903185,2020-03-26,"March",1,0,517,136
"66","ALABAMA",4903185,2020-03-27,"March",4,3,587,70
"67","ALABAMA",4903185,2020-03-28,"March",4,0,694,107
"68","ALABAMA",4903185,2020-03-29,"March",10,6,825,131
"69","ALABAMA",4903185,2020-03-30,"March",10,0,899,74
"70","ALABAMA",4903185,2020-03-31,"March",23,13,987,88
"71","ALABAMA",4903185,2020-04-01,"April",27,4,1060,73
"72","ALABAMA",4903185,2020-04-02,"April",32,5,1233,173
"73","ALABAMA",4903185,2020-04-03,"April",38,6,1495,262
"74","ALABAMA",4903185,2020-04-04,"April",44,6,1614,119
"75","ALABAMA",4903185,2020-04-05,"April",45,1,1765,151
"76","ALABAMA",4903185,2020-04-06,"April",49,4,1952,187
"77","ALABAMA",4903185,2020-04-07,"April",64,15,2169,217
"78","ALABAMA",4903185,2020-04-08,"April",66,2,2328,159
"79","ALABAMA",4903185,2020-04-09,"April",70,4,2703,375
"80","ALABAMA",4903185,2020-04-10,"April",80,10,2947,244
"81","ALABAMA",4903185,2020-04-11,"April",92,12,3217,270
"82","ALABAMA",4903185,2020-04-12,"April",93,1,3563,346
"83","ALABAMA",4903185,2020-04-13,"April",99,6,3734,171
"84","ALABAMA",4903185,2020-04-14,"April",114,15,3953,219
"85","ALABAMA",4903185,2020-04-15,"April",118,4,4075,122
"86","ALABAMA",4903185,2020-04-16,"April",133,15,4345,270
"87","ALABAMA",4903185,2020-04-17,"April",148,15,4571,226
"88","ALABAMA",4903185,2020-04-18,"April",153,5,4712,141
"89","ALABAMA",4903185,2020-04-19,"April",157,4,4888,176
"90","ALABAMA",4903185,2020-04-20,"April",163,6,5079,191
"91","ALABAMA",4903185,2020-04-21,"April",183,20,5317,238
