"","state","date","month","recovered.cases","active.cases","incident.rate","people.tested","people.hospitalized","mortality.rate","testing.rate","hospitalization.rate"
"1","Alabama",2020-04-13,4,NA,3635,79.6349333329352,29182,457,2.65131226566685,622.363852308976,12.2388859132298
"2","Alabama",2020-04-14,4,NA,3839,84.30554137,33117,493,2.883885656,706.2855081,12.4715406
"3","Alabama",2020-04-15,4,NA,3957,86.9074326008867,34077,525,2.89570552147239,726.759406316667,12.8834355828221
"4","Alabama",2020-04-16,4,NA,4212,92.6657164787369,36391,553,3.06098964326812,776.110031847575,12.7272727272727
"5","Alabama",2020-04-17,4,NA,4423,97.4856133542707,37848,594,3.23780354408226,807.183437810641,12.9949682782761
"6","Alabama",2020-04-18,4,NA,4559,100.492717157148,42538,620,3.24702886247878,907.206961466631,13.1578947368421
"7","Alabama",2020-04-19,4,NA,4731,104.246265166413,45712,641,3.21194762684124,974.898787497358,13.1137479541735
"8","Alabama",2020-04-20,4,NA,4916,108.319717835559,45900,641,3.20929316794645,978.908259234528,12.6205946052373
"9","Alabama",2020-04-21,4,NA,5134,113.395538438997,48526,699,3.44179048335528,1034.91290169095,13.146511190521
"10","Alabama",2020-04-22,4,NA,5397,119.2817841808,48760,730,3.50438047559449,1039.90341438509,13.0520293223672
"11","Alabama",2020-04-23,4,NA,5630,124.378931761564,52641,768,3.4636488340192,1122.67341338485,13.1687242798354
"12","Alabama",2020-04-24,4,NA,5817,128.516365362686,52889,769,3.46830401593097,1127.96250376155,12.7613674078991
"13","Alabama",2020-04-25,4,NA,5817,128.516365362686,71344,839,3.46830401593097,1521.55187030127,13.9230003318951
"14","Alabama",2020-04-26,4,NA,6202,136.940521406207,73551,845,3.41068369412864,1568.62050925836,13.1599439339667
"15","Alabama",2020-04-27,4,NA,6311,139.457104730601,73997,872,3.48677167762655,1578.13234114548,13.335372381098
"16","Alabama",2020-04-28,4,NA,6508,143.957096946254,75827,911,3.58518518518519,1617.16070965091,13.4962962962963
"17","Alabama",2020-04-29,4,NA,6656,147.412067272964,80449,945,3.7037037037037,1715.73399884877,13.671875
"18","Alabama",2020-04-30,4,0,6816,151.165615282229,87196,978,3.83747178329571,1859.62711486305,13.7979683972912
"19","Alabama",2020-05-01,5,0,7005,155.558972611256,91933,1008,3.96216068001097,1960.65300645333,13.8195777351248
"20","Alabama",2020-05-02,5,0,7323,162.319624423399,92209,1023,3.78399684666929,1966.53925219513,13.4410721324399
"21","Alabama",2020-05-03,5,0,7598,168.227197142526,92500,1035,3.67647058823529,1972.74540259682,13.1211967545639
"22","Alabama",2020-05-04,5,0,7814,173.004440063409,103117,1064,3.67357001972387,2199.17392086028,13.1163708086785
"23","Alabama",2020-05-05,5,NA,8122,179.935707694155,106766,1107,3.73355458101221,2276.99606112056,13.1207775275572
"24","Alabama",2020-05-06,5,NA,8348,185.352759934799,109516,1158,3.94661143711886,2335.64524876533,13.3241284086987
"25","Alabama",2020-05-07,5,NA,8677,192.923836885306,115173,1178,4.07915100596949,2456.29195949495,13.02233031174
"26","Alabama",2020-05-08,5,NA,9002,200.153682198607,120114,1207,4.08098028769313,2561.66855445961,12.8609483217901
"27","Alabama",2020-05-09,5,NA,9278,206.189216781687,125494,1228,4.03392635498552,2676.40769247011,12.7016963177493
"28","Alabama",2020-05-10,5,NA,9496,210.902478770594,127421,1240,3.97411265041966,2717.5047777761,12.5391849529781
"29","Alabama",2020-05-11,5,NA,9761,216.767397535071,129444,1256,3.96497441951987,2760.64925290532,12.3573396300669
"30","Alabama",2020-05-12,5,NA,10029,223.165490732682,133218,1287,4.15711009174312,2841.13726533127,12.2993119266055
"31","Alabama",2020-05-13,5,NA,10250,228.198657381469,136372,1317,4.20560747663551,2908.40255181549,12.3084112149533
"32","Alabama",2020-05-14,5,NA,10628,226.403857900528,141985,1350,4.26087739843257,2895.77081019786,12.1610665705792
"33","Alabama",2020-05-15,5,NA,10890,231.951272489209,146063,1377,4.24690055394355,2978.94123921492,12.1076233183857
"34","Alabama",2020-05-16,5,NA,11189,238.0901394,153494,1387,4.154531437,3130.49579,11.88110331
"35","Alabama",2020-05-17,5,NA,11283,240.068445306469,156350,1392,4.14578200662645,3188.74364316256,11.8256732648033
"36","Alabama",2020-05-18,5,NA,11597,246.492840877919,157123,1416,4.04600364057587,3204.50890594583,11.716035081913
"37","Alabama",2020-05-19,5,NA,11872,252.407363784968,157566,1453,4.07239819004525,3213.54384955901,11.740465416936
"38","Alabama",2020-05-20,5,NA,12530,266.194320630366,164450,1493,3.99938706711615,3353.94238642841,11.438859944836
